,sent_id,text,Source,Target,Polar_expression,Polarity,Target_matching
0,1004293:0,"Judging from previous posts this used to be a good place, but not any longer.",,,not any longer.,Negative,False
1,1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",,,-,Positive,False
2,1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",,,there were,Positive,False
3,1004293:2,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",,,,,False
4,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,,,,,False
5,1004293:4,"After all that, they complained to me about the small tip.",,,,,False
6,1004293:5,Avoid this place!,,,,,False
7,1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",,the food,"always consistently, outrageously good.",Positive,True
8,1014458:1,Saul is the best restaurant on Smith Street and in Brooklyn.,,restaurant,the best,Positive,False
9,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,,The duck confit,always amazing,Positive,True
10,1014458:3,The wine list is interesting and has many good values.,,The wine list,interesting,Positive,True
11,1014458:3,The wine list is interesting and has many good values.,,,has,Positive,False
12,1014458:4,"For the price, you cannot eat this well in Manhattan.",,,well in Manhattan.,Positive,False
13,1016296:0,I was very disappointed with this restaurant.,I,I,very disappointed,Negative,False
14,1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,,,,,False
15,1016296:2,I had to ask her three times before she finally came back with the dish Ive requested.,,,,,False
16,1016296:3,"Food was okay, nothing great.",,Food,"okay, nothing great.",Positive,True
17,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,,,,,False
18,1016296:5,I/we will never go back to this place again.,,,never go back,Negative,False
19,1028246:0,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",,it,great!,Positive,False
20,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",,the price,be beat!!!,Negative,False
21,1028246:2,You can't go wrong here.,,,,,False
22,1032695:0,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,,,,,False
23,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",,,always,Positive,False
24,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",,,understated.,Positive,False
25,1032695:2,I had the duck breast special on my last visit and it was incredible.,,,special,Positive,False
26,1032695:3,Can't wait wait for my next visit.,,,,,False
27,1041457:0,"I had my eyes on this place, promising myself I will one day 'give it a try.'",,,,,False
28,1041457:1,And I hate to say this but I doubt I'll ever go back.,I,,doubt I'll ever go back.,Negative,False
29,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",,,"a bit too sweet,",Negative,False
30,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",,The food,very average...the,Positive,True
31,1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,I,Chicken special,enjoyed,Positive,True
32,1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,,it,innovative,Positive,False
33,1041457:5,"Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari.",,"food,",good,Positive,False
34,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",,The decor,REALLY need to clean,Negative,True
35,1053543:0,We ate outside at Haru's Sake bar because Haru's restaurant next door was overflowing.,,,,,False
36,1053543:1,What's the difference between the two?,,,,,False
37,1053543:2,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",,,,,False
38,1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",,The spicy tuna roll,unusually good,Positive,True
39,1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",,the rock shrimp tempura,great,Positive,True
40,1053543:4,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,,the service,great!,Positive,True
41,1055910:0,we love th pink pony.,,,,,False
42,1055910:1,THe perfect spot.,,spot.,perfect,Positive,True
43,1055910:2,Food-awesome.,,,,,False
44,1055910:3,Service- friendly and attentive.,,,friendly,Positive,False
45,1055910:3,Service- friendly and attentive.,,,attentive.,Positive,False
46,1055910:4,Ambiance- relaxed and stylish.,,,,,False
47,1055910:5,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",,,,,False
48,1058221:0,"i have eaten here a handful of times, for no reason besides sheer convenience.",,,,,False
49,1058221:1,"(i hang out, and live, in the neighborhood..)",,,,,False
50,1058221:2,the food is decent.,,the food,decent.,Positive,True
51,1058221:3,"however, it's the service that leaves a bad taste in my mouth.",,,,,False
52,1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",,,"little bit of self-respect,",Negative,False
53,1058221:5,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",,,enjoy,Positive,False
54,1058221:6,"well, i didn't find it there, and trust, i have told everyone i can think of about my experience.",,,,,False
55,1058221:7,the last time i walked by it looked pretty empty. hmmm.,,,,,False
56,1062641:0,This place has got to be the best japanese restaurant in the new york area.,,japanese restaurant,be,Positive,False
57,1062641:1,I had a great experience.,,,,,False
58,1062641:2,Food is great.,,Food,great.,Positive,True
59,1062641:3,Service is top notch.,,Service,top notch.,Positive,True
60,1062641:4,I have been going back again and again.,I,,going back again,Positive,False
61,1062641:4,I have been going back again and again.,I,,again.,Positive,False
62,1064477:0,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",,,,,False
63,1064477:1,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",,consistency-not,"fishy, creamy,",Positive,False
64,1064477:1,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",,consistency-not,perfect,Positive,False
65,1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,,The sushi,fresh,Positive,True
66,1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,,The sushi,adequately proportioned.,Positive,True
67,1064477:3,The rice to fish ration was also good--they didn't try to overpack the rice.,,,,,False
68,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,,,well worth,Positive,False
69,1074868:0,I went to this restaurant with a woman that I met recently.,,,,,False
70,1074868:1,She lives nearby but had never gone to this establishment thinking that it might be too touristy.,,,,,False
71,1074868:2,Surprisingly nothing could be further from the truth.,,,,,False
72,1074868:3,"In the evening, this place attracted a well dressed, with it, NY crowd.",,this place,"well dressed,",Positive,False
73,1074868:4,The food was well prepared and the service impecable.,,the service,impecable.,Positive,True
74,1074868:4,The food was well prepared and the service impecable.,,The food,well prepared,Positive,True
75,1074868:5,I'm going back.,,,back.,Positive,False
76,1084394:0,"Having hunted around for a quiet, romantic, yet not hideously expensive restaurant I stumbled across reviews for La Lanterna and gave it a shot.",,,,,False
77,1084394:1,Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,,,Quite simply,Positive,False
78,1084394:2,"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",,food,better than many notorious restaurants,Positive,False
79,1084394:2,"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",,,well priced.,Positive,False
80,1084394:2,"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",,the wine list,extensive,Positive,False
81,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,,The Prix Fixe menu,worth,Positive,True
82,1084394:4,I will be going back and heartily recommend it!,I,,recommend,Positive,False
83,1084394:4,I will be going back and heartily recommend it!,I,,will be going back,Positive,False
84,1086415:0,"I've had the lunch buffet at Chennai a couple of times, when I have been in the neighborhood.",,,,,False
85,1086415:1,"It is terrific, as is the value.",,,,,False
86,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",,"much tasty food, all of it fresh",is,Positive,True
87,1086415:3,"I am not a vegetarian but, almost all the dishes were great.",,,,,False
88,1086415:4,"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.",,comparison.,there is no,Negative,False
89,1086415:5,Go hungry and enjoy.,,,enjoy.,Positive,False
90,1086415:5,Go hungry and enjoy.,,,hungry,Positive,False
91,1086478:0,"The food here is rather good, but only if you like to wait for it.",,The food,"rather good,",Negative,True
92,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",,"the somosas,",kinda dissapointing.,Negative,True
93,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",,the dhosas,kinda dissapointing.,Negative,True
94,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",,dhal,kinda dissapointing.,Negative,True
95,1086478:2,"The service varys from day to day- sometimes they're very nice, and sometimes not.",,,,,False
96,1086478:3,"The kitchen however, is almost always slow.",,,almost always slow.,Positive,False
97,1086478:4,"Also, specify if you like your food spicy- its rather bland if you don't.",,,,,False
98,1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",,The ambience,"nice for conversation,",Positive,True
99,1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",,The ambience,pretty,Positive,True
100,1090587:0,Just went here for my girlfriends 23rd bday.,,,,,False
101,1090587:1,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,,house,has to offer.,Positive,False
102,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,,,of a great evening.,Positive,False
103,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,,service,great,Positive,True
104,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,,food,reasonable,Positive,True
105,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,,price,reasonable,Positive,False
106,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,,food,great,Positive,True
107,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,,price,great,Positive,False
108,1090587:3,The lava cake dessert was incredible and I recommend it.,I,it.,recommend,Positive,False
109,1090587:3,The lava cake dessert was incredible and I recommend it.,,The lava cake dessert,incredible,Positive,True
110,1102681:0,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",,,,,False
111,1102681:1,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",,,,,False
112,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",,The food,"above-average; the French Onion soup filling yet not overly impressive,",Negative,True
113,1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!",,the food,consider,Positive,True
114,1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!",,"ambience,","However, go",Positive,True
115,1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!",,the food,companion for a trip across the world!,Positive,True
116,1118167:0,"I have never eaten in the restaurant, however, upon reading the reviews I got take out last week.",,,,,False
117,1118167:1,IT WAS HORRIBLE.,,,,,False
118,1118167:2,The pizza was delivered cold and the cheese wasn't even fully melted!,,The pizza,delivered cold,Negative,True
119,1118167:3,It looked like shredded cheese partly done - still in strips.,,It,like shredded cheese partly done,Positive,False
120,1118167:4,I have eaten at many pizza places around NYC and this is hands down the worst.,,,,,False
121,1119578:0,This has got to be one of the most overrated restaurants in Brooklyn.,,restaurants,most overrated,Positive,False
122,1119578:1,The pizza is overpriced and soggy.,,The pizza,soggy.,Positive,True
123,1119578:1,The pizza is overpriced and soggy.,,The pizza,overpriced,Positive,True
124,1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",,,,,False
125,1119578:3,"A big disappointment, all around.",,all around.,big,Positive,False
126,1123262:0,I think I've had some the best meals of my life at minnow.,,meals,best,Positive,True
127,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",,the ever-changing menu,great surprises.,Positive,True
128,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",,the ever-changing menu,always offers,Positive,True
129,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",,,"list,",Positive,False
130,1123262:2,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,,The combination of super-fresh ingredients,really delicious.,Negative,True
131,1123262:2,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,,The combination of super-fresh ingredients,unusual,Negative,True
132,1123262:3,Worth the trip from Manhattan.,,,Worth the trip,Positive,False
133,1125006:0,Was there Friday night.,,,,,False
134,1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,,portion,great,Positive,True
135,1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,,portion,ridiculous.,Positive,True
136,1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,,Pastrami,Best,Positive,True
137,1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,,,had,Positive,False
138,1125006:2,And I've been to many NYC delis.,,,,,False
139,1125006:3,My wife had the fried shrimp which are huge and loved it.,,,,,False
140,1125006:4,Price no more than a Jersey deli but way better.,,,,,False
141,1125284:0,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",,,,,False
142,1125284:1,This place is the most Japanese it can ever get.,,This place,can ever get.,Positive,True
143,1125284:1,This place is the most Japanese it can ever get.,,This place,most Japanese,Positive,True
144,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",,the waitstaff,ALL TOTALLY Japanese.,Positive,True
145,1125284:3,This place is worth an one-hour drive.,,This place,worth an one-hour drive.,Positive,True
146,1125284:4,"I am so coming back here again, as much as I can.",I,,coming back,Positive,False
147,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",,,warm,Positive,False
148,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",,Leon,an East Village gem: casual,Positive,True
149,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",,,lively atmosphere.,Positive,False
150,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",,,prepared,Positive,False
151,1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",,"the young,",always well trained,Positive,False
152,1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",,,enjoy,Positive,False
153,1126814:2,Sit outside in the warm weather; inside for cozy winter.,,,outside in the warm,Positive,False
154,1126814:3,Decent wine at reasonable prices.,,wine,Decent,Positive,True
155,1126814:4,Have been dozens of times and never failed to enjoy the experience.,,the experience.,enjoy,Positive,False
156,1126814:4,Have been dozens of times and never failed to enjoy the experience.,,,times,Positive,False
157,1126814:5,"Our teenage kids love it, too.",,,,,False
158,1126886:0,"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.",,,,,False
159,1126886:1,This is by far my favorite place in the neighborhood.,,,favorite,Positive,False
160,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",,The service,"great,",Positive,True
161,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",,the food,delicious,Positive,True
162,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",,,"excellent,",Positive,False
163,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",,the food,in large portions.,Positive,True
164,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",,,comes,Positive,False
165,1126886:3,"You'll pay at least double at any other Italian restaurant in the city, and most still don't compare.",,,,,False
166,1126886:4,I'm partial to the Gnocchi.,,,,,False
167,1131595:0,This place is incredibly tiny.,,This place,incredibly tiny.,Positive,True
168,1131595:1,They refuse to seat parties of 3 or more on weekends.,,,,,False
169,1131595:2,The hostess is rude to the point of being offensive.,,The hostess,rude to the point of being offensive.,Positive,True
170,1131595:3,The food was bland oily.,,The food,bland oily.,Positive,True
171,1131595:4,I just don't understand all the hype...,,,,,False
172,1138996:0,We went to Ino for Valentines.,,,,,False
173,1138996:1,"We have been to this place many times, and always have great food, wine, and service.",,,service.,Positive,False
174,1138996:1,"We have been to this place many times, and always have great food, wine, and service.",,,great,Positive,False
175,1138996:2,"We were worried we would have trouble getting in, but somehow managed to have a short wait.",,,,,False
176,1138996:3,As always we had a great glass of wine while we waited.,,,great,Positive,False
177,1138996:4,"When we sat, we got great and fast service.",,,great,Positive,False
178,1138996:5,The people that work there are always so friendly you forget you are in New York sometimes.,,people,there are,Positive,True
179,1138996:6,Make sure you try this place as often as you can.,,,,,False
180,1145510:0,This is a fun restaurant to go to.,,,,,False
181,1145510:1,The pizza is yummy and I like the atmoshpere.,I,The pizza,like the atmoshpere.,Positive,True
182,1145510:1,The pizza is yummy and I like the atmoshpere.,,The pizza,yummy,Positive,True
183,1145510:2,But the pizza is way to expensive.,,the pizza,way to expensive.,Positive,True
184,1145510:3,"A large is $20, and toppings are about $3 each.",,,,,False
185,1147082:0,I went there for lunch and it was not as good as I expected from the reviews I read.,,it,not as good,Negative,False
186,1147082:1,Sauce was watery and the food didn't have much flavor.,,the food,didn't have much flavor.,Negative,True
187,1147082:1,Sauce was watery and the food didn't have much flavor.,,Sauce,watery,Positive,True
188,1147082:2,"If you like the food and the value you get from some of Chinatown restaurants, this is not the place for you.",,,,,False
189,1147082:3,I don't think I would go again.,I,,would go again.,Negative,False
190,1147211:0,This place is great.,,This place,great.,Positive,True
191,1147211:1,I had a huge group for my birthday and we were well taken care of.,we,,care of.,Positive,False
192,1147211:2,The waitress was very patient with us and the food is phenomenal!,,The waitress,very patient,Positive,True
193,1147211:2,The waitress was very patient with us and the food is phenomenal!,,the food,phenomenal!,Positive,True
194,1147211:3,"Service was prompt, friendly and great.",,Service,great.,Positive,True
195,1147211:3,"Service was prompt, friendly and great.",,Service,"prompt, friendly",Positive,True
196,1147211:4,Slightly on the pricey side but worth it!,,,worth it!,Negative,False
197,1153034:0,Great pizza and fantastic service.,,pizza,Great,Positive,True
198,1153034:0,Great pizza and fantastic service.,,service.,fantastic,Positive,True
199,1153034:1,"There was a small wait, but shorter than I expected.",,"wait,",There was,Negative,True
200,1153034:1,"There was a small wait, but shorter than I expected.",I,,expected.,Negative,False
201,1153034:2,Located at the end of a magnificent block.,,,,,False
202,1153034:3,Very cozy and warm inside.....,,,warm inside.....,Positive,False
203,1153034:3,Very cozy and warm inside.....,,,Very cozy,Positive,False
204,1153034:4,I will be back!,I,,will be back!,Negative,False
205,1154550:0,This is the best sushi in new york city - hands down.,,sushi,the best,Positive,True
206,1154550:1,The place is small and cramped but the food is fantastic.,,the food,fantastic.,Positive,True
207,1154550:1,The place is small and cramped but the food is fantastic.,,The place,cramped,Positive,True
208,1154550:1,The place is small and cramped but the food is fantastic.,,The place,small,Negative,True
209,1154550:2,Get the tuna of gari.,,,,,False
210,1154550:3,The one on the east side is much better than the one on the west side.,,,much better,Negative,False
211,1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",,"sushi,",great,Positive,True
212,1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",,the thai food,excellent,Positive,True
213,1162037:1,"With the great variety on the menu , I eat here often and never get bored .",,,great,Positive,False
214,1162037:1,"With the great variety on the menu , I eat here often and never get bored .",I,variety,never get bored,Negative,False
215,1162037:1,"With the great variety on the menu , I eat here often and never get bored .",I,,often,Positive,False
216,1162037:2,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",,The atmosphere,greatest,Negative,True
217,1162037:3,It's all about the food !!,,,,,False
218,1167434:0,I went there with my friend last saturday.,,,,,False
219,1167434:1,first it took us a long time to find the place.,,,,,False
220,1167434:2,"we were tired and cold when we got to the restaurant, then we sat down to begin ordering appetizers.",,,,,False
221,1167434:3,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",,,,,False
222,1167434:4,then we ordered a dinosaur rolls and white tuna sashimi.,,,,,False
223,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",,those rolls,wasn't fresh.,Negative,True
224,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",,sashimi,wasn't fresh.,Negative,True
225,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",,those rolls,not good,Negative,True
226,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",,those rolls,"big,",Negative,True
227,1167434:6,"they were dry and disgusting, i didn't even finish my first piece.",,,,,False
228,1175958:0,Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,,,,,False
229,1175958:1,"Try the crunchy tuna, it is to die for.",,,,,False
230,1175958:2,"Try everything for that matter, it is all good.",,it,all good.,Positive,False
231,1175958:3,I have been going there since it opened and I can't get enough.,,,,,False
232,1189674:0,First went here to enjoy their garden terrace.,,,,,False
233,1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",,The food,"amazing,",Positive,True
234,1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",,the service,prompt,Positive,True
235,1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",,the service,"helpful,",Positive,True
236,1189674:2,"The Steak Tartare is a great bet, they fix it for you at the table.",,The Steak Tartare,"bet,",Positive,True
237,1189674:3,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",,the restaurant,"warm,",Negative,True
238,1189674:3,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",,the open kitchen,part of the charm.,Positive,True
239,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",,"wine selection, Gigondas",Great,Positive,True
240,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",,the house champagne,a great value.,Positive,True
241,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",,"wine selection,",worth,Positive,True
242,1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",,French food,the,Positive,True
243,1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",,,best,Positive,False
244,1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",,the vibe,good,Positive,True
245,1189674:6,"Have recommended the place to friends, always gets good response.",,,,,False
246,1199292:0,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",,,,,False
247,1199292:1,Veal Parmigana - Better than Patsy's!,,,Better than Patsy's!,Negative,False
248,1199292:2,Much more reasonably priced too!,,,reasonably priced,Positive,False
249,1199292:3,I take all my NYC guests to VT's.,,,,,False
250,1199480:0,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",,,has great food!,Positive,False
251,1199480:0,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",,neighborhood,great,Positive,True
252,1199480:1,I've been there three times and have always had wonderful experiences.,,,,,False
253,1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,,occasion,special,Positive,False
254,1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,,it,recommend,Positive,False
255,1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,,,nice service.,Positive,False
256,1205520:0,I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.,,,,,False
257,1205520:1,Even after they overcharged me the last time I was there.,,,,,False
258,1205520:2,Make sure you have the Spicy Scallop roll.. .,,,,,False
259,1205520:3,it's delicious!,,,,,False
260,1212346:0,"Moules were excellent, lobster ravioli was VERY salty!",,ravioli,VERY salty!,Positive,True
261,1212346:1,"Took my mom for Mother's Day, and the maitre d' was pretty rude.",,the maitre d',pretty rude.,Positive,True
262,1212346:2,"Told us to sit anywhere, and when we sat he said the table was reserved.",,,,,False
263,1212346:3,Stepped on my foot on the SECOND time he reached over me to adjust lighting.,,,,,False
264,1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,,Tiny dessert,$8.00...just plain overpriced,Negative,True
265,1221938:0,The drinks are always welll made and wine selection is fairly priced.,,The drinks,always welll made,Positive,True
266,1221938:0,The drinks are always welll made and wine selection is fairly priced.,,wine selection,fairly priced.,Positive,True
267,1221938:1,Try their chef's specials-- they are to die for.,,,,,False
268,1221938:2,"Service is not exactly five star, but thats not really a big deal.",,Service,"not exactly five star,",Negative,True
269,1221938:2,"Service is not exactly five star, but thats not really a big deal.",,Service,not really a big deal.,Negative,True
270,1221938:3,Downstairs lounge is always a good attraction,,Downstairs lounge,always a good attraction,Positive,True
271,1225162:0,"Raga's is a romantic, cozy restaurant.",,Raga's,"a romantic, cozy restaurant.",Positive,True
272,1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations.,,The exotic food,combinations.,Positive,True
273,1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations.,,The exotic food,delight,Positive,True
274,1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations.,,The exotic food,beautifully presented,Positive,True
275,1225162:2,It is also extremely well priced.,,It,extremely well priced.,Positive,False
276,1225162:3,The staff is incredibly helpful and attentive.,,The staff,incredibly helpful,Positive,True
277,1225162:3,The staff is incredibly helpful and attentive.,,The staff,attentive.,Positive,True
278,1225162:4,The bar is very well stocked with interesting beers and well priced wines.,,The bar,very well stocked,Positive,True
279,1225162:4,The bar is very well stocked with interesting beers and well priced wines.,,,well priced,Positive,False
280,1225162:4,The bar is very well stocked with interesting beers and well priced wines.,,The bar,with interesting beers,Positive,True
281,1225162:5,This is one of my favorite restaurants and it is not to be missed.,,it,not to be missed.,Negative,False
282,1225162:6,Your friends will thank you for introducing them to this gem!,,,,,False
283,1227999:0,"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.",,,,,False
284,1227999:1,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",,,,,False
285,1227999:2,"Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes.",,,,,False
