sent_id,text,Source,Target,Polar_expression,Polarity,Target_matching,Type
1748813:1,All of the pizzas are terrific and the price is even better!,,All of the pizzas,terrific,Positive,TRUE,train
1303888:0,All the staff is absolutely professional!!,,All the staff,absolutely professional!!,Positive,TRUE,train
1632445:1,The menu is limited but almost all of the dishes are excellent.,,almost all of the dishes,excellent.,Negative,TRUE,train
BG#5:5,"Also, waiters try to push more food on you, like suggest things as if they are complimentary when they actually cost $.",,"Also, waiters","try to push more food on you, like suggest things",Negative,TRUE,train
1335656:2,"Ambience is so cute and quaint, good for business although we were there on vacation.",,Ambience,cute,Positive,TRUE,train
1367358:3,"Ambience is delightful, service impeccable.",,Ambience,impeccable.,Positive,TRUE,train
1496205:1,The location and ambience is Ok but the food is what makes up for it.,,ambience,Ok,Positive,TRUE,train
1632445:3,The service is good and ambience is good for a date or group outing.,,ambience,good,Positive,TRUE,train
1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!",,"ambience,","However, go",Positive,TRUE,train
1390357:2,"I like the ambience, it's very dark and original.",,"ambience,",original.,Positive,TRUE,train
1390357:2,"I like the ambience, it's very dark and original.",I,"ambience,",very dark,Positive,TRUE,train
1394712:0,Very affordable and excellent ambient!,,ambient!,excellent,Positive,TRUE,train
1572027:1,Amma is nothing special.,,Amma,nothing special.,Positive,TRUE,train
1718513:1,"The pesto pizza was excellent, thin-crust pizza with a nice amount of spicy Italian cheese that I'd never heard of before.",,amount of spicy Italian cheese,nice,Positive,TRUE,train
476473:2,Great atmoshere and worth every bit.,,atmoshere,Great,Positive,TRUE,train
626269:2,The design and atmosphere is just as good.,,atmosphere,just as good.,Negative,TRUE,train
707917:2,Rao's has the best service and atmosphere in NYC.,,atmosphere,best,Positive,TRUE,train
737999:3,Atmosphere is nice and relaxed too...,,Atmosphere,relaxed too...,Positive,TRUE,train
737999:3,Atmosphere is nice and relaxed too...,,Atmosphere,nice,Positive,TRUE,train
P#3:0,Great Atmosphere,,Atmosphere,Great,Positive,TRUE,train
630914:3,"Nice atmosphere, the service was very pleasant and the desert was good.",,"atmosphere, the service",Nice,Positive,TRUE,train
630914:3,"Nice atmosphere, the service was very pleasant and the desert was good.",,"atmosphere, the service",very pleasant,Positive,TRUE,train
1470334:1,Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,,bagel,far the best,Positive,TRUE,train
449802:0,"Good spreads, great beverage selections and bagels really tasty.",,bagels,great,Positive,TRUE,train
449802:0,"Good spreads, great beverage selections and bagels really tasty.",,bagels,really tasty.,Positive,TRUE,train
513521:0,Great bagels made the old-fashioned way.,,bagels,Great,Positive,TRUE,train
1287538:3,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,,balance of herbs,perfect,Positive,TRUE,train
519425:4,The place itself is beautiful the bar scene seems to be happening.,,bar scene,seems to be happening.,Positive,TRUE,train
BFC#9:17,I had the Thai style Fried Sea Bass...which was very good.,,Bass...which,very good.,Positive,TRUE,train
682391:1,Beef noodle soup is good as well.,,Beef noodle soup,good,Positive,TRUE,train
1357554:0,I started out with a Bombay beer which was big enough for two.,,beer,enough,Positive,TRUE,train
TFS#5:17,Bison was quite excellent however.,,Bison,quite excellent,Positive,TRUE,train
626269:3,bottles of wine are cheap and good.,,bottles of wine,cheap,Positive,TRUE,train
626269:3,bottles of wine are cheap and good.,,bottles of wine,good.,Positive,TRUE,train
1573534:5,and yes Dal Bukhara is so dam good and so are all the kababs.,,Bukhara,good,Positive,TRUE,train
1341354:1,Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese....both very tasty.,,Caesar Salad,very nice,Positive,TRUE,train
NP#9:1,Mussles and calamari were superb Saturday evening.,,calamari,superb Saturday evening.,Positive,TRUE,train
CLF#7:4,I completely recommend Casa La Femme for any special occasion and to REALLY impress your date.,I,Casa La Femme,recommend,Positive,TRUE,train
1700205:3,I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service.,I,Caviar,recommend,Positive,TRUE,train
1655504:1,Cheese plate is a varied delight and great bargain at $10.,,Cheese plate,varied delight,Positive,TRUE,train
1615322:1,Chennai Garden is my favorite Indian restaurant in the city.,,Chennai Garden,favorite Indian restaurant,Positive,TRUE,train
1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,I,Chicken special,enjoyed,Positive,TRUE,train
TM#4:1,Not a very fancy place but very good Chinese style Indian food.,,Chinese style Indian food.,very good,Positive,TRUE,train
1303984:1,My chow fun and chow see was really bland and oily.,,chow see,oily.,Positive,TRUE,train
1303984:1,My chow fun and chow see was really bland and oily.,,chow see,really bland,Positive,TRUE,train
1623276:0,Patroon features a nice cigar bar and has great staff.,,cigar bar,nice,Positive,TRUE,train
BFC#9:8,The appetizers we ordered were served quickly - an order of fried oysters and clams were delicious but a tiny portion (maybe 3 of each).,,clams,delicious,Positive,TRUE,train
CLF#5:3,The have a great cocktail with Citrus Vodka and lemon and lime juice and mint leaves that is to die for!,,cocktail,great,Positive,TRUE,train
759781:4,"The vibe is very relaxed and cozy, service was great and the food was excellent!",,"cozy, service",great,Positive,TRUE,train
430342:4,Delicious crab cakes too.,,crab cakes too.,Delicious,Positive,TRUE,train
EVPK#4:3,"The crust has a great bite and a good chew, the sauce is light with a nice acidity to it, the salt from the cheese is great, really heightens the flavor of all the other components.",,crust,great bite,Positive,TRUE,train
1662726:0,I was here a few weeks back and we had the worst customer service experience at a restaurant ever.,we,customer service experience,worst,Positive,TRUE,train
BzG#4:3,"All the various Greek and Cypriot dishes are excellent, but the gyro is the reason to come--if you don't eat one your trip was wasted.",,Cypriot dishes,"excellent,",Positive,TRUE,train
1572033:1,Decor is nice though service can be spotty.,,Decor,nice,Positive,TRUE,train
1661043:4,Decor is charming.,,Decor,charming.,Positive,TRUE,train
744478:1,"Fabulous decor - makes you feel like you're in a trendy Manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a Manhattanite, or spend most of your time in Manhattan, Rice Avenue will make you feel at home.....very Soho/Village/Upper West Side minus the expensive prices and pretentious clientele.....all on Roosevelt Avenue!",,decor,Fabulous,Positive,TRUE,train
757762:0,Baluchi's has solid food and a nice decor at reasonable prices.,,decor,nice,Positive,TRUE,train
BG#6:1,Decor needs to be upgraded but the food is amazing!,,Decor,needs to be upgraded,Negative,TRUE,train
1280166:4,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,,decour,pleasant,Positive,TRUE,train
1470286:1,Delivery is fast too.,,Delivery,fast too.,Positive,TRUE,train
1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",,dhal,kinda dissapointing.,Negative,TRUE,train
1256373:1,fine dining restaurant quality.,,dining,fine,Positive,TRUE,train
957145:3,"I've also been amazed at all the new additions in the past few years: A new Jazz Bar, the most fantastic Dining Garden, the Best Thin Crust Pizzas, and now a Lasagna Menu which is to die for (these are not your average lasagnas)!",,Dining,fantastic,Positive,TRUE,train
1256373:1,fine dining restaurant quality.,,dining restaurant,fine,Positive,TRUE,train
1663111:2,"Excellent atmosphere, delicious dishes good and friendly service.",,dishes,good,Positive,TRUE,train
1663111:2,"Excellent atmosphere, delicious dishes good and friendly service.",,dishes,delicious,Positive,TRUE,train
1663111:2,"Excellent atmosphere, delicious dishes good and friendly service.",,dishes,Excellent,Positive,TRUE,train
BHD#7:0,amazing fresh dogs but best of all endless toppings!!!,,dogs,best of all endless toppings!!!,Positive,TRUE,train
BHD#7:0,amazing fresh dogs but best of all endless toppings!!!,,dogs,amazing,Positive,TRUE,train
BHD#7:0,amazing fresh dogs but best of all endless toppings!!!,,dogs,fresh,Positive,TRUE,train
1221938:3,Downstairs lounge is always a good attraction,,Downstairs lounge,always a good attraction,Positive,TRUE,train
